CIPCODE,CIPDESC,CREDLEV,CREDDESC,Duplicate
100,"Agriculture, General.",3,Bachelors Degree,1003
101,Agricultural Business and Management.,3,Bachelors Degree,1013
109,Animal Sciences.,3,Bachelors Degree,1093
110,Food Science and Technology.,3,Bachelors Degree,1103
110,Food Science and Technology.,5,Master's Degree,1105
110,Food Science and Technology.,6,Doctoral Degree,1106
111,Plant Sciences.,3,Bachelors Degree,1113
199,"Agriculture, Agriculture Operations, and Related Sciences, Other.",3,Bachelors Degree,1993
199,"Agriculture, Agriculture Operations, and Related Sciences, Other.",5,Master's Degree,1995
199,"Agriculture, Agriculture Operations, and Related Sciences, Other.",6,Doctoral Degree,1996
305,Forestry.,3,Bachelors Degree,3053
403,"City/Urban, Community and Regional Planning.",3,Bachelors Degree,4033
403,"City/Urban, Community and Regional Planning.",5,Master's Degree,4035
901,Communication and Media Studies.,5,Master's Degree,9015
1002,Audiovisual Communications Technologies/Technicians.,3,Bachelors Degree,10023
1101,"Computer and Information Sciences, General.",3,Bachelors Degree,11013
1101,"Computer and Information Sciences, General.",5,Master's Degree,11015
1301,"Education, General.",5,Master's Degree,13015
1301,"Education, General.",8,Graduate/Professional Certificate,13018
1304,Educational Administration and Supervision.,5,Master's Degree,13045
1310,Special Education and Teaching.,3,Bachelors Degree,13103
1310,Special Education and Teaching.,5,Master's Degree,13105
1312,"Teacher Education and Professional Development, Specific Levels and Methods.",3,Bachelors Degree,13123
1312,"Teacher Education and Professional Development, Specific Levels and Methods.",5,Master's Degree,13125
1313,"Teacher Education and Professional Development, Specific Subject Areas.",3,Bachelors Degree,13133
1313,"Teacher Education and Professional Development, Specific Subject Areas.",5,Master's Degree,13135
1408,Civil Engineering.,3,Bachelors Degree,14083
1410,"Electrical, Electronics and Communications Engineering.",3,Bachelors Degree,14103
1419,Mechanical Engineering.,3,Bachelors Degree,14193
1499,"Engineering, Other.",5,Master's Degree,14995
1503,Electrical Engineering Technologies/Technicians.,3,Bachelors Degree,15033
1506,Industrial Production Technologies/Technicians.,3,Bachelors Degree,15063
1508,Mechanical Engineering Related Technologies/Technicians.,3,Bachelors Degree,15083
1510,Construction Engineering Technologies.,3,Bachelors Degree,15103
1901,"Family and Consumer Sciences/Human Sciences, General.",3,Bachelors Degree,19013
1901,"Family and Consumer Sciences/Human Sciences, General.",5,Master's Degree,19015
2301,"English Language and Literature, General.",3,Bachelors Degree,23013
2401,"Liberal Arts and Sciences, General Studies and Humanities.",3,Bachelors Degree,24013
2601,"Biology, General.",3,Bachelors Degree,26013
2601,"Biology, General.",5,Master's Degree,26015
2701,Mathematics.,3,Bachelors Degree,27013
3105,Health and Physical Education/Fitness.,5,Master's Degree,31055
4005,Chemistry.,3,Bachelors Degree,40053
4008,Physics.,3,Bachelors Degree,40083
4008,Physics.,5,Master's Degree,40085
4008,Physics.,6,Doctoral Degree,40086
4201,"Psychology, General.",3,Bachelors Degree,42013
4228,"Clinical, Counseling and Applied Psychology.",5,Master's Degree,42285
4301,Criminal Justice and Corrections.,3,Bachelors Degree,43013
4407,Social Work.,3,Bachelors Degree,44073
4407,Social Work.,5,Master's Degree,44075
4510,Political Science and Government.,3,Bachelors Degree,45103
4511,Sociology.,3,Bachelors Degree,45113
5007,Fine and Studio Arts.,3,Bachelors Degree,50073
5009,Music.,3,Bachelors Degree,50093
5102,Communication Disorders Sciences and Services.,5,Master's Degree,51025
5202,"Business Administration, Management and Operations.",3,Bachelors Degree,52023
5202,"Business Administration, Management and Operations.",5,Master's Degree,52025
5203,Accounting and Related Services.,3,Bachelors Degree,52033
5208,Finance and Financial Management Services.,3,Bachelors Degree,52083
5214,Marketing.,3,Bachelors Degree,52143
502,"Ethnic, Cultural Minority, Gender, and Group Studies.",3,Bachelors Degree,5023
901,Communication and Media Studies.,3,Bachelors Degree,9013
1101,"Computer and Information Sciences, General.",6,Doctoral Degree,11016
1110,Computer/Information Technology Administration and Management.,5,Master's Degree,11105
1304,Educational Administration and Supervision.,6,Doctoral Degree,13046
1304,Educational Administration and Supervision.,7,First Professional Degree,13047
1304,Educational Administration and Supervision.,8,Graduate/Professional Certificate,13048
1311,Student Counseling and Personnel Services.,5,Master's Degree,13115
1312,"Teacher Education and Professional Development, Specific Levels and Methods.",6,Doctoral Degree,13126
1314,Teaching English or French as a Second or Foreign Language.,5,Master's Degree,13145
1401,"Engineering, General.",3,Bachelors Degree,14013
1401,"Engineering, General.",5,Master's Degree,14015
1405,Biomedical/Medical Engineering.,3,Bachelors Degree,14053
1405,Biomedical/Medical Engineering.,5,Master's Degree,14055
1405,Biomedical/Medical Engineering.,6,Doctoral Degree,14056
1408,Civil Engineering.,5,Master's Degree,14085
1408,Civil Engineering.,6,Doctoral Degree,14086
1409,Computer Engineering.,6,Doctoral Degree,14096
1410,"Electrical, Electronics and Communications Engineering.",5,Master's Degree,14105
1418,Materials Engineering,3,Bachelors Degree,14183
1418,Materials Engineering,5,Master's Degree,14185
1418,Materials Engineering,6,Doctoral Degree,14186
1419,Mechanical Engineering.,5,Master's Degree,14195
1499,"Engineering, Other.",6,Doctoral Degree,14996
1601,"Linguistic, Comparative, and Related Language Studies and Services.",3,Bachelors Degree,16013
1609,"Romance Languages, Literatures, and Linguistics.",3,Bachelors Degree,16093
2301,"English Language and Literature, General.",5,Master's Degree,23015
2601,"Biology, General.",6,Doctoral Degree,26016
2602,"Biochemistry, Biophysics and Molecular Biology.",6,Doctoral Degree,26026
2604,Cell/Cellular Biology and Anatomical Sciences.,6,Doctoral Degree,26046
2605,Microbiological Sciences and Immunology.,6,Doctoral Degree,26056
2608,Genetics.,6,Doctoral Degree,26086
2609,"Physiology, Pathology and Related Sciences.",5,Master's Degree,26095
2609,"Physiology, Pathology and Related Sciences.",6,Doctoral Degree,26096
2610,Pharmacology and Toxicology.,6,Doctoral Degree,26106
2611,"Biomathematics, Bioinformatics, and Computational Biology.",5,Master's Degree,26115
2611,"Biomathematics, Bioinformatics, and Computational Biology.",6,Doctoral Degree,26116
2612,Biotechnology.,5,Master's Degree,26125
2613,"Ecology, Evolution, Systematics, and Population Biology.",6,Doctoral Degree,26136
2614,Molecular Medicine.,6,Doctoral Degree,26146
2615,Neurobiology and Neurosciences.,3,Bachelors Degree,26153
2615,Neurobiology and Neurosciences.,6,Doctoral Degree,26156
2699,"Biological and Biomedical Sciences, Other.",5,Master's Degree,26995
2699,"Biological and Biomedical Sciences, Other.",6,Doctoral Degree,26996
2701,Mathematics.,5,Master's Degree,27015
2703,Applied Mathematics.,6,Doctoral Degree,27036
3006,Systems Science and Theory.,5,Master's Degree,30065
3019,Nutrition Sciences.,5,Master's Degree,30195
3019,Nutrition Sciences.,6,Doctoral Degree,30196
3099,"Multi/Interdisciplinary Studies, Other.",5,Master's Degree,30995
3105,Health and Physical Education/Fitness.,6,Doctoral Degree,31056
3801,Philosophy.,3,Bachelors Degree,38013
4005,Chemistry.,5,Master's Degree,40055
4005,Chemistry.,6,Doctoral Degree,40056
4010,Materials Sciences.,6,Doctoral Degree,40106
4201,"Psychology, General.",5,Master's Degree,42015
4201,"Psychology, General.",6,Doctoral Degree,42016
4301,Criminal Justice and Corrections.,5,Master's Degree,43015
4404,Public Administration.,5,Master's Degree,44045
4502,Anthropology.,3,Bachelors Degree,45023
4502,Anthropology.,5,Master's Degree,45025
4511,Sociology.,5,Master's Degree,45115
4511,Sociology.,6,Doctoral Degree,45116
4599,"Social Sciences, Other.",3,Bachelors Degree,45993
5005,Drama/Theatre Arts and Stagecraft.,3,Bachelors Degree,50053
5007,Fine and Studio Arts.,5,Master's Degree,50075
5100,"Health Services/Allied Health/Health Sciences, General.",3,Bachelors Degree,51003
5100,"Health Services/Allied Health/Health Sciences, General.",5,Master's Degree,51005
5104,Dentistry.,5,Master's Degree,51045
5104,Dentistry.,7,First Professional Degree,51047
5104,Dentistry.,8,Graduate/Professional Certificate,51048
5105,Advanced/Graduate Dentistry and Oral Sciences.,5,Master's Degree,51055
5105,Advanced/Graduate Dentistry and Oral Sciences.,8,Graduate/Professional Certificate,51058
5106,Dental Support Services and Allied Professions.,1,Undergraduate Certificate or Diploma,51061
5107,Health and Medical Administrative Services.,3,Bachelors Degree,51073
5107,Health and Medical Administrative Services.,5,Master's Degree,51075
5107,Health and Medical Administrative Services.,6,Doctoral Degree,51076
5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",1,Undergraduate Certificate or Diploma,51091
5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",3,Bachelors Degree,51093
5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",5,Master's Degree,51095
5110,Clinical/Medical Laboratory Science/Research and Allied Professions.,3,Bachelors Degree,51103
5110,Clinical/Medical Laboratory Science/Research and Allied Professions.,5,Master's Degree,51105
5112,Medicine.,7,First Professional Degree,51127
5115,Mental and Social Health Services and Allied Professions.,5,Master's Degree,51155
5117,Optometry.,7,First Professional Degree,51177
5122,Public Health.,3,Bachelors Degree,51223
5122,Public Health.,5,Master's Degree,51225
5122,Public Health.,6,Doctoral Degree,51226
5122,Public Health.,7,First Professional Degree,51227
5123,Rehabilitation and Therapeutic Professions.,5,Master's Degree,51235
5123,Rehabilitation and Therapeutic Professions.,6,Doctoral Degree,51236
5123,Rehabilitation and Therapeutic Professions.,7,First Professional Degree,51237
5131,Dietetics and Clinical Nutrition Services.,5,Master's Degree,51315
5131,Dietetics and Clinical Nutrition Services.,8,Graduate/Professional Certificate,51318
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",3,Bachelors Degree,51383
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",5,Master's Degree,51385
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",6,Doctoral Degree,51386
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",7,First Professional Degree,51387
5199,"Health Professions and Related Clinical Sciences, Other.",3,Bachelors Degree,51993
5203,Accounting and Related Services.,5,Master's Degree,52035
5206,Business/Managerial Economics.,3,Bachelors Degree,52063
5210,Human Resources Management and Services.,3,Bachelors Degree,52103
5212,Management Information Systems and Services.,3,Bachelors Degree,52123
5212,Management Information Systems and Services.,5,Master's Degree,52125
5212,Management Information Systems and Services.,8,Graduate/Professional Certificate,52128
5218,"General Sales, Merchandising and Related Marketing Operations.",3,Bachelors Degree,52183
5401,History.,3,Bachelors Degree,54013
5401,History.,5,Master's Degree,54015
1907,"Human Development, Family Studies, and Related Services.",3,Bachelors Degree,19073
1907,"Human Development, Family Studies, and Related Services.",5,Master's Degree,19075
2401,"Liberal Arts and Sciences, General Studies and Humanities.",2,Associate's Degree,24012
3802,Religion/Religious Studies.,5,Master's Degree,38025
3902,Bible/Biblical Studies.,3,Bachelors Degree,39023
3902,Bible/Biblical Studies.,5,Master's Degree,39025
3902,Bible/Biblical Studies.,6,Doctoral Degree,39026
3906,Theological and Ministerial Studies.,5,Master's Degree,39065
3906,Theological and Ministerial Studies.,6,Doctoral Degree,39066
3907,Pastoral Counseling and Specialized Ministries.,3,Bachelors Degree,39073
3907,Pastoral Counseling and Specialized Ministries.,5,Master's Degree,39075
3907,Pastoral Counseling and Specialized Ministries.,6,Doctoral Degree,39076
4301,Criminal Justice and Corrections.,2,Associate's Degree,43012
4303,Homeland Security.,3,Bachelors Degree,43033
5115,Mental and Social Health Services and Allied Professions.,6,Doctoral Degree,51156
5202,"Business Administration, Management and Operations.",2,Associate's Degree,52022
5205,Business/Corporate Communications.,3,Bachelors Degree,52053
1108,Computer Software and Media Applications.,5,Master's Degree,11085
1108,Computer Software and Media Applications.,6,Doctoral Degree,11086
1108,Computer Software and Media Applications.,8,Graduate/Professional Certificate,11088
1110,Computer/Information Technology Administration and Management.,4,Post-baccalaureate Certificate,11104
1301,"Education, General.",3,Bachelors Degree,13013
1314,Teaching English or French as a Second or Foreign Language.,4,Post-baccalaureate Certificate,13144
1314,Teaching English or French as a Second or Foreign Language.,8,Graduate/Professional Certificate,13148
1402,"Aerospace, Aeronautical and Astronautical Engineering.",3,Bachelors Degree,14023
1402,"Aerospace, Aeronautical and Astronautical Engineering.",5,Master's Degree,14025
1402,"Aerospace, Aeronautical and Astronautical Engineering.",6,Doctoral Degree,14026
1407,Chemical Engineering.,3,Bachelors Degree,14073
1407,Chemical Engineering.,5,Master's Degree,14075
1409,Computer Engineering.,3,Bachelors Degree,14093
1409,Computer Engineering.,4,Post-baccalaureate Certificate,14094
1409,Computer Engineering.,5,Master's Degree,14095
1409,Computer Engineering.,8,Graduate/Professional Certificate,14098
1410,"Electrical, Electronics and Communications Engineering.",6,Doctoral Degree,14106
1419,Mechanical Engineering.,6,Doctoral Degree,14196
1435,Industrial Engineering.,3,Bachelors Degree,14353
1435,Industrial Engineering.,5,Master's Degree,14355
1435,Industrial Engineering.,6,Doctoral Degree,14356
1499,"Engineering, Other.",3,Bachelors Degree,14993
1601,"Linguistic, Comparative, and Related Language Studies and Services.",1,Undergraduate Certificate or Diploma,16011
2313,Rhetoric and Composition/Writing Studies.,4,Post-baccalaureate Certificate,23134
2313,Rhetoric and Composition/Writing Studies.,8,Graduate/Professional Certificate,23138
2612,Biotechnology.,6,Doctoral Degree,26126
3001,Biological and Physical Sciences.,5,Master's Degree,30015
3015,"Science, Technology and Society.",5,Master's Degree,30155
3099,"Multi/Interdisciplinary Studies, Other.",3,Bachelors Degree,30993
3099,"Multi/Interdisciplinary Studies, Other.",4,Post-baccalaureate Certificate,30994
3099,"Multi/Interdisciplinary Studies, Other.",6,Doctoral Degree,30996
3099,"Multi/Interdisciplinary Studies, Other.",8,Graduate/Professional Certificate,30998
3105,Health and Physical Education/Fitness.,3,Bachelors Degree,31053
4004,Atmospheric Sciences and Meteorology.,5,Master's Degree,40045
4004,Atmospheric Sciences and Meteorology.,6,Doctoral Degree,40046
4099,"Physical Sciences, Other.",3,Bachelors Degree,40993
4099,"Physical Sciences, Other.",5,Master's Degree,40995
4099,"Physical Sciences, Other.",6,Doctoral Degree,40996
4510,Political Science and Government.,1,Undergraduate Certificate or Diploma,45101
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",4,Post-baccalaureate Certificate,51384
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",8,Graduate/Professional Certificate,51388
5202,"Business Administration, Management and Operations.",4,Post-baccalaureate Certificate,52024
